Detailed Statistics Departures  
Origin Airport: Atlanta, GA: Hartsfield-Jackson Atlanta International (ATL)
Airline: Alaska Airlines Inc. (AS)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","01/26/2016","0745","N419AS","SEA","18:40","18:54","340","342","14","19:17","23","0","0","16","0","0"
"AS","01/26/2016","0749","N584AS","SEA","07:00","06:58","335","322","-2","07:09","11","0","0","0","0","0"
"AS","01/26/2017","0749","N464AS","SEA","07:05","06:58","335","309","-7","07:11","13","0","0","0","0","0"
"AS","01/26/2017","0777","N431AS","SEA","18:40","18:51","335","309","11","19:02","11","0","0","0","0","0"
"AS","01/26/2018","0745","N492AS","SEA","15:52","15:50","345","334","-2","16:02","12","0","0","0","0","0"
"AS","01/26/2019","0745","N562AS","SEA","15:00","14:58","345","331","-2","15:13","15","0","0","0","0","0"
"AS","01/27/2015","0745","N459AS","SEA","18:10","18:05","340","317","-5","18:22","17","0","0","0","0","0"
"AS","01/27/2016","0745","N453AS","SEA","18:40","18:36","340","356","-4","19:04","28","0","0","0","0","0"
"AS","01/27/2016","0749","N407AS","SEA","07:00","06:57","335","313","-3","07:10","13","0","0","0","0","0"
"AS","01/27/2017","0749","N478AS","SEA","07:05","06:57","335","325","-8","07:16","19","0","0","0","0","0"
"AS","01/27/2017","0777","N495AS","SEA","18:40","18:41","335","319","1","18:56","15","0","0","0","0","0"
"AS","01/27/2018","0745","N277AK","SEA","15:52","15:44","345","343","-8","16:00","16","0","0","0","0","0"
"AS","01/27/2019","0745","N284AK","SEA","15:00","15:02","345","377","2","15:24","22","0","0","34","0","0"
"AS","01/28/2015","0745","N442AS","SEA","18:10","18:05","340","314","-5","18:14","9","0","0","0","0","0"
"AS","01/28/2016","0745","N403AS","SEA","18:40","18:36","340","326","-4","18:54","18","0","0","0","0","0"
"AS","01/28/2016","0749","N468AS","SEA","07:00","06:55","335","318","-5","07:08","13","0","0","0","0","0"
"AS","01/28/2017","0749","N474AS","SEA","07:05","06:55","335","314","-10","07:09","14","0","0","0","0","0"
"AS","01/28/2017","0777","N622AS","SEA","18:40","18:38","335","326","-2","18:50","12","0","0","0","0","0"
"AS","01/28/2018","0745","N237AK","SEA","15:52","15:49","345","337","-3","16:07","18","0","0","0","0","0"
"AS","01/28/2019","0745","N467AS","SEA","15:00","14:49","345","336","-11","15:04","15","0","0","0","0","0"
"AS","01/29/2015","0745","N442AS","SEA","18:10","17:57","340","326","-13","18:09","12","0","0","0","0","0"
"AS","01/29/2016","0745","N492AS","SEA","18:40","18:34","340","335","-6","18:49","15","0","0","0","0","0"
"AS","01/29/2016","0749","N477AS","SEA","07:00","06:53","335","327","-7","07:11","18","0","0","0","0","0"
"AS","01/29/2017","0749","N467AS","SEA","07:05","06:54","335","333","-11","07:09","15","0","0","0","0","0"
"AS","01/29/2017","0777","N260AK","SEA","18:40","18:36","335","342","-4","18:48","12","0","0","0","0","0"
"AS","01/29/2018","0745","N236AK","SEA","15:52","15:42","345","357","-10","16:02","20","0","0","0","0","0"
"AS","01/29/2019","0745","N552AS","SEA","15:00","14:52","345","319","-8","15:02","10","0","0","0","0","0"
"AS","01/30/2015","0745","N440AS","SEA","18:10","18:02","340","337","-8","18:19","17","0","0","0","0","0"
"AS","01/30/2016","0745","N491AS","SEA","18:40","18:41","340","313","1","18:52","11","0","0","0","0","0"
"AS","01/30/2016","0749","N535AS","SEA","07:00","06:56","335","310","-4","07:06","10","0","0","0","0","0"
